element,sp_num,obs_wl_vac(A),ritz_wl_vac(A),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,7,,100.254,,4.772E+10,AA,4629201.0,5626670.0,1s.2p,1P*,1,1s.4d,1D,2,,T5997,,
O,8,,102.3476,,2.213E+11,AA,-5270781.85,-6247844.2122,2p,2P*,1/2,3d,2D,3/2,,T6492extrap,,
O,8,,102.3552,,9.202E+10,AA,-5270855.39,-6247844.960,2s,2S,1/2,3p,2P*,3/2,,T6492extrap,,
O,8,,102.3919,,8.644E+09,AA,-5270781.85,-6247421.72,2p,2P*,1/2,3s,2S,1/2,,T6492extrap,,
O,8,,102.4019,,9.193E+10,AA,-5270855.39,-6247399.742,2s,2S,1/2,3p,2P*,1/2,,T6492extrap,,
O,8,,102.4897,,2.646E+11,AA,-5272284.37,-6247992.3879,2p,2P*,3/2,3d,2D,5/2,,T6492extrap,,
O,8,,102.5052,,4.41E+10,AA,-5272284.37,-6247844.2122,2p,2P*,3/2,3d,2D,3/2,,T6492extrap,,
O,8,,102.5497,,1.723E+10,AA,-5272284.37,-6247421.72,2p,2P*,3/2,3s,2S,1/2,,T6492extrap,,
O,6,,103.206,,1.73E+09,B,96375.0,1065311,1s2.2p,2P*,1/2,1s2.9d,2D,3/2,,T3225LS,,
O,6,,103.260,,2.07E+09,B,96907.5,1065337,1s2.2p,2P*,3/2,1s2.9d,2D,5/2,,T3225LS,,
O,6,,103.263,,3.46E+08,B,96907.5,1065311,1s2.2p,2P*,3/2,1s2.9d,2D,3/2,,T3225LS,,
O,6,,104.612,,2.48E+09,B+,96375.0,1052288,1s2.2p,2P*,1/2,1s2.8d,2D,3/2,,T5118LS,,
O,6,,104.669,,2.97E+09,B+,96907.5,1052301,1s2.2p,2P*,3/2,1s2.8d,2D,5/2,,T5118LS,,
O,6,,104.670,,4.95E+08,B+,96907.5,1052288,1s2.2p,2P*,3/2,1s2.8d,2D,3/2,,T5118LS,,
O,6,,104.803,,2.39E+08,B,96375.0,[1050543],1s2.2p,2P*,1/2,1s2.8s,2S,1/2,,T3127LS,,
O,6,,104.862,,4.77E+08,B,96907.5,[1050543],1s2.2p,2P*,3/2,1s2.8s,2S,1/2,,T3127LS,,
O,6,,106.731,,3.78E+09,B+,96375.0,1033310,1s2.2p,2P*,1/2,1s2.7d,2D,3/2,,T5118LS,,
O,6,,106.789,,4.53E+09,B+,96907.5,1033334,1s2.2p,2P*,3/2,1s2.7d,2D,5/2,,T5118LS,,
O,6,,106.792,,7.54E+08,B+,96907.5,1033310,1s2.2p,2P*,3/2,1s2.7d,2D,3/2,,T5118LS,,
O,6,,107.020,,3.62E+08,B,96375.0,1030780,1s2.2p,2P*,1/2,1s2.7s,2S,1/2,,T3127LS,,
O,6,,107.081,,7.22E+08,B,96907.5,1030780,1s2.2p,2P*,3/2,1s2.7s,2S,1/2,,T3127LS,,
O,6,,110.157,,6.18E+09,A,96375.0,1004170,1s2.2p,2P*,1/2,1s2.6d,2D,3/2,,T5118LS,,
O,6,,110.220,,7.4E+09,A,96907.5,1004184,1s2.2p,2P*,3/2,1s2.6d,2D,5/2,,T5118LS,,
O,6,,110.222,,1.23E+09,A,96907.5,1004170,1s2.2p,2P*,3/2,1s2.6d,2D,3/2,,T5118LS,,
O,6,,110.656,,5.85E+08,B,96375.0,1000080,1s2.2p,2P*,1/2,1s2.6s,2S,1/2,,T3127LS,,
O,6,,110.721,,1.17E+09,B,96907.5,1000080,1s2.2p,2P*,3/2,1s2.6s,2S,1/2,,T3127LS,,
O,5,,114.358,,1.72E+09,C+,0.0,874447.0,1s2.2s2,1S,0,1s2.2s.8p,1P*,1,,T5633,,
O,6,,115.821,,1.23E+10,B+,0.0,863397.7,1s2.2s,2S,1/2,1s2.4p,2P*,3/2,,T5118LS,,
O,6,,115.830,,1.23E+10,B+,0.0,863333.8,1s2.2s,2S,1/2,1s2.4p,2P*,1/2,,T5118LS,,
O,5,,116.161,,2.28E+09,C+,0.0,860874.0,1s2.2s2,1S,0,1s2.2s.7p,1P*,1,,T5633,,
O,6,,116.350,,1.12E+10,A,96375.0,955851,1s2.2p,2P*,1/2,1s2.5d,2D,3/2,,T5118LS,,
O,6,,116.421,,1.35E+10,A,96907.5,955860,1s2.2p,2P*,3/2,1s2.5d,2D,5/2,,T5118LS,,
O,6,,116.422,,2.24E+09,A,96907.5,955851,1s2.2p,2P*,3/2,1s2.5d,2D,3/2,,T5118LS,,
O,6,,117.328,,1.07E+09,B,96375.0,948690,1s2.2p,2P*,1/2,1s2.5s,2S,1/2,,T5118LS,,
O,6,,117.401,,2.13E+09,B,96907.5,948690,1s2.2p,2P*,3/2,1s2.5s,2S,1/2,,T5118LS,,
O,5,,118.000,,9.04E+08,C,0.0,847460.0,1s2.2s2,1S,0,1s2.2p.(2P*<3/2>).4d,1P*,1,,T5633,,
O,5,,119.102,,4.64E+09,B,0.0,839616.0,1s2.2s2,1S,0,1s2.2s.6p,1P*,1,,T5633,,
O,5,,122.087,,9.03E+08,C+,82078.6,901165.0,1s2.2s.2p,3P*,1,1s2.2p.(2P*<3/2>).5p,3P,2,,T5633LS,,
O,5,,122.088,,1.2E+09,C+,81942.5,901023.0,1s2.2s.2p,3P*,0,1s2.2p.(2P*<3/2>).5p,3P,1,,T5633LS,,
O,5,,122.108,,9.03E+08,C,82078.6,901023.0,1s2.2s.2p,3P*,1,1s2.2p.(2P*<3/2>).5p,3P,1,,T5633LS,,
O,5,,122.133,,2.71E+09,B,82385.3,901165.0,1s2.2s.2p,3P*,2,1s2.2p.(2P*<3/2>).5p,3P,2,,T5633LS,,
O,5,,122.133,,3.61E+09,C+,82078.6,900858.0,1s2.2s.2p,3P*,1,1s2.2p.(2P*<3/2>).5p,3P,0,,T5633LS,,
O,5,,122.154,,1.5E+09,C+,82385.3,901023.0,1s2.2s.2p,3P*,2,1s2.2p.(2P*<3/2>).5p,3P,1,,T5633LS,,
O,5,124.616,124.616,80,7.15E+09,B,0.0,802466.0,1s2.2s2,1S,0,1s2.2s.5p,1P*,1,,T5633,L552,
O,5,,126.069,,1.37E+09,C+,81942.5,875162.0,1s2.2s.2p,3P*,0,1s2.2s.8d,3D,1,,T5633LS,,
O,5,,126.087,,1.85E+09,C+,82078.6,875183.0,1s2.2s.2p,3P*,1,1s2.2s.8d,3D,2,,T5633LS,,
O,5,,126.090,,1.02E+09,C+,82078.6,875162.0,1s2.2s.2p,3P*,1,1s2.2s.8d,3D,1,,T5633LS,,
O,5,,126.135,,2.46E+09,B,82385.3,875186.0,1s2.2s.2p,3P*,2,1s2.2s.8d,3D,3,,T5633LS,,
O,5,,126.136,,6.14E+08,C+,82385.3,875183.0,1s2.2s.2p,3P*,2,1s2.2s.8d,3D,2,,T5633LS,,
O,5,,126.139,,6.82E+07,D,82385.3,875162.0,1s2.2s.2p,3P*,2,1s2.2s.8d,3D,1,,T5633LS,,
O,7,,128.177,,5.055E+10,AA,4588380.0,5368550.0,1s.2s,1S,0,1s.3p,1P*,1,,T5997,,
O,5,,128.232,,2.03E+09,C+,81942.5,861778.0,1s2.2s.2p,3P*,0,1s2.2s.7d,3D,1,,T5633LS,,
O,5,,128.252,,2.75E+09,B,82078.6,861793.0,1s2.2s.2p,3P*,1,1s2.2s.7d,3D,2,,T5633LS,,
O,5,,128.255,,1.52E+09,C+,82078.6,861778.0,1s2.2s.2p,3P*,1,1s2.2s.7d,3D,1,,T5633LS,,
O,5,,128.302,,3.65E+09,B,82385.3,861796.0,1s2.2s.2p,3P*,2,1s2.2s.7d,3D,3,,T5633LS,,
