element,sp_num,obs_wl_vac(A),ritz_wl_vac(A),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,4,,1035.18,,3.43E+08,C+,499842.6,596444,2s.2p.(3P*).3d,4D*,5/2,2s.2p.(3P*).4f,4D,5/2,,T5109LS,,
O,4,,1035.87,,1.13E+08,C+,499907.0,596444,2s.2p.(3P*).3d,4D*,7/2,2s.2p.(3P*).4f,4D,5/2,,T5109LS,,
O,4,,1036.39,,8.49E+07,C+,499842.6,596331,2s.2p.(3P*).3d,4D*,5/2,2s.2p.(3P*).4f,4D,7/2,,T5109LS,,
O,4,,1037.09,,5.1E+08,C+,499907.0,596331,2s.2p.(3P*).3d,4D*,7/2,2s.2p.(3P*).4f,4D,7/2,,T5109LS,,
O,6,,1037.613,,4.09E+08,A,0.0,96375.0,1s2.2s,2S,1/2,1s2.2p,2P*,1/2,,T5118LS,,
O,1,1039.230,1039.230,160,9.43E+07,A,0.000,96225.049,2s2.2p4,3P,2,2s2.2p3.(4S*).4s,3S*,1,,"T5803,LS",L3760,
O,3,,1040.320,,1.02E+08,C+,210461.8,306586.08,2s.2p3,1P*,1,2s2.2p.(2P*).3p,1D,2,,"T5376,T5791",,
O,1,1040.942,1040.943,60,5.64E+07,A,158.265,96225.049,2s2.2p4,3P,1,2s2.2p3.(4S*).4s,3S*,1,,"T5803,LS",L3760,
O,1,,1041.688,,1.88E+07,A,226.977,96225.049,2s2.2p4,3P,0,2s2.2p3.(4S*).4s,3S*,1,,"T5803,LS",,
O,4,,1042.52,,1.29E+07,B,485821.7,581743,2s2.4s,2S,1/2,2s.2p.(1P*).3d,2P*,3/2,,T5109LS,,
O,4,,1042.76,,1.29E+07,B,485821.7,581721,2s2.4s,2S,1/2,2s.2p.(1P*).3d,2P*,1/2,,T5109LS,,
O,4,,1045.364,,5.62E+08,B,390161.2,485821.7,2s2.3p,2P*,1/2,2s2.4s,2S,1/2,,T5109LS,,
O,4,,1046.313,,1.12E+09,B,390248.0,485821.7,2s2.3p,2P*,3/2,2s2.4s,2S,1/2,,T5109LS,,
O,4,,1047.590,,8.79E+07,B,357614.3,453071.5,2s2.3s,2S,1/2,2s.2p.(3P*).3s,2P*,3/2,,T5109LS,,
O,4,,1049.439,,4.92E+08,C+,501509.2,596798.2,2s.2p.(3P*).3d,2D*,3/2,2s.2p.(3P*).4f,2D,3/2,,T5109LS,,
O,4,,1050.047,,5.45E+07,C+,501564.4,596798.2,2s.2p.(3P*).3d,2D*,5/2,2s.2p.(3P*).4f,2D,3/2,,T5109LS,,
O,3,,1050.358,,8.08E+07,C+,306586.08,401791.7,2s2.2p.(2P*).3p,1D,2,2s2.2p.(2P*).5d,1D*,2,,T5376,,
O,4,,1050.505,,8.71E+07,B,357614.3,452806.6,2s2.3s,2S,1/2,2s.2p.(3P*).3s,2P*,1/2,,T5109LS,,
O,4,,1050.982,,3.63E+07,C+,501509.2,596658.3,2s.2p.(3P*).3d,2D*,3/2,2s.2p.(3P*).4f,2D,5/2,,T5109LS,,
O,4,,1051.592,,5.07E+08,C+,501564.4,596658.3,2s.2p.(3P*).3d,2D*,5/2,2s.2p.(3P*).4f,2D,5/2,,T5109LS,,
O,4,,1054.80,,7.28E+07,B,474478.1,569283,2s.2p.(3P*).3p,4S,3/2,2s.2p.(3P*).4s,4P*,5/2,,T5109LS,,
O,5,,1055.468,,4.65E+08,B,582920.3,677665.0,1s2.2s.3p,3P*,2,1s2.2p.(2P*<3/2>).3p,3D,3,,T3843n,,
O,3,,1056.433,,4.36E+07,C+,283759.70,378417.84,2p4,3P,2,2s.2p2.(4P).3p,3P*,1,,T5376LS,,
O,3,,1056.514,,3.18E+07,C,297558.66,392209.53,2s2.2p.(2P*).3p,3S,1,2s2.2p.(2P*).5s,3P*,2,,T5376LS,,
O,3,,1056.569,,7.84E+07,C+,283759.70,378405.68,2p4,3P,2,2s.2p2.(4P).3p,3P*,2,,T5376LS,,
O,4,,1057.55,,7.22E+07,B,474478.1,569036,2s.2p.(3P*).3p,4S,3/2,2s.2p.(3P*).4s,4P*,3/2,,T5109LS,,
O,4,,1057.98,,1.46E+08,B,452806.6,547326,2s.2p.(3P*).3s,2P*,1/2,2s.2p.(1P*).3p,2D,3/2,,T5109LS,,
O,5,,1058.141,,3.43E+08,B,582843.1,677348.5,1s2.2s.3p,3P*,1,1s2.2p.(2P*<1/2>).3p,3D,2,,T3843n,,
O,3,,1058.674,,1.04E+08,C+,283977.40,378435.16,2p4,3P,1,2s.2p2.(4P).3p,3P*,0,,T5376LS,,
O,3,,1058.868,,2.6E+07,C+,283977.40,378417.84,2p4,3P,1,2s.2p2.(4P).3p,3P*,1,,T5376LS,,
O,3,,1059.005,,2.6E+07,C+,283977.40,378405.68,2p4,3P,1,2s.2p2.(4P).3p,3P*,2,,T5376LS,,
O,5,,1059.006,,1.18E+08,B,582920.3,677348.5,1s2.2s.3p,3P*,2,1s2.2p.(2P*<1/2>).3p,3D,2,,T3843n,,
O,4,,1059.07,,7.19E+07,B,474478.1,568901,2s.2p.(3P*).3p,4S,3/2,2s.2p.(3P*).4s,4P*,1/2,,T5109LS,,
O,3,,1059.781,,3.15E+07,C,297558.66,391917.80,2s2.2p.(2P*).3p,3S,1,2s2.2p.(2P*).5s,3P*,1,,T5376LS,,
O,3,,1059.929,,3.45E+07,C+,284071.90,378417.84,2p4,3P,0,2s.2p2.(4P).3p,3P*,1,,T5376LS,,
O,5,,1059.947,,2.53E+08,B,582806.4,677150.7,1s2.2s.3p,3P*,0,1s2.2p.(2P*<1/2>).3p,3D,1,,T3843n,,
O,5,,1060.360,,1.93E+08,B,582843.1,677150.7,1s2.2s.3p,3P*,1,1s2.2p.(2P*<1/2>).3p,3D,1,,T3843n,,
O,4,,1060.63,,1.74E+08,B,453071.5,547355,2s.2p.(3P*).3s,2P*,3/2,2s.2p.(1P*).3p,2D,5/2,,T5109LS,,
O,3,,1060.759,,3.15E+07,D,297558.66,391830.76,2s2.2p.(2P*).3p,3S,1,2s2.2p.(2P*).5s,3P*,0,,T5376LS,,
O,4,,1060.96,,2.9E+07,B,453071.5,547326,2s.2p.(3P*).3s,2P*,3/2,2s.2p.(1P*).3p,2D,3/2,,T5109LS,,
O,5,,1061.229,,1.26E+07,C+,582920.3,677150.7,1s2.2s.3p,3P*,2,1s2.2p.(2P*<1/2>).3p,3D,1,,T5633LS,,
O,4,,1061.780,,2.19E+09,C+,499767.2,593948.7,2s.2p.(3P*).3d,4D*,1/2,2s.2p.(3P*).4f,4F,3/2,,T5109LS,,
O,4,,1061.952,,2.34E+09,C+,499795.7,593961.9,2s.2p.(3P*).3d,4D*,3/2,2s.2p.(3P*).4f,4F,5/2,,T5109LS,,
O,4,,1062.101,,8.73E+08,C+,499795.7,593948.7,2s.2p.(3P*).3d,4D*,3/2,2s.2p.(3P*).4f,4F,3/2,,T5109LS,,
O,4,,1062.133,,2.67E+09,C+,499842.6,593992.8,2s.2p.(3P*).3d,4D*,5/2,2s.2p.(3P*).4f,4F,7/2,,T5109LS,,
O,4,,1062.271,,3.12E+09,C+,499907.0,594044.9,2s.2p.(3P*).3d,4D*,7/2,2s.2p.(3P*).4f,4F,9/2,,T5109LS,,
O,4,,1062.481,,7.58E+08,C+,499842.6,593961.9,2s.2p.(3P*).3d,4D*,5/2,2s.2p.(3P*).4f,4F,5/2,,T5109LS,,
O,4,,1062.630,,6.23E+07,C+,499842.6,593948.7,2s.2p.(3P*).3d,4D*,5/2,2s.2p.(3P*).4f,4F,3/2,,T5109LS,,
O,4,,1062.860,,4.44E+08,C+,499907.0,593992.8,2s.2p.(3P*).3d,4D*,7/2,2s.2p.(3P*).4f,4F,7/2,,T5109LS,,
O,4,,1063.209,,3.01E+07,C+,499907.0,593961.9,2s.2p.(3P*).3d,4D*,7/2,2s.2p.(3P*).4f,4F,5/2,,T5109LS,,
O,4,,1067.768,,3.11E+09,C+,419533.9,513187.2,2s2.3d,2D,3/2,2s2.4f,2F*,5/2,,T5109LS,,
O,4,,1067.832,,3.33E+09,C+,419550.6,513198.3,2s2.3d,2D,5/2,2s2.4f,2F*,7/2,,T5109LS,,
O,4,,1067.958,,2.22E+08,C+,419550.6,513187.2,2s2.3d,2D,5/2,2s2.4f,2F*,5/2,,T5109LS,,
O,4,,1073.11,,7.94E+06,B,482666.1,575853,2s.2p.(3P*).3p,2D,3/2,2s.2p.(1P*).3d,2D*,5/2,,T5109LS,,
O,4,,1073.50,,1.07E+08,B,482666.1,575819,2s.2p.(3P*).3p,2D,3/2,2s.2p.(1P*).3d,2D*,3/2,,T5109LS,,
O,4,,1074.94,,3.25E+06,C+,501509.2,594538,2s.2p.(3P*).3d,2D*,3/2,2p2.(3P).3s,2P,3/2,,T5109LS,,
O,2,1074.962,1074.961,8,,,26810.55,119837.21,2s2.2p3,2D*,5/2,2s.2p4,4P,5/2,,,L10549,
O,4,,1075.57,,2.92E+07,B,501564.4,594538,2s.2p.(3P*).3d,2D*,5/2,2p2.(3P).3s,2P,3/2,,T5109LS,,
O,4,,1076.06,,1.1E+08,B,482921.6,575853,2s.2p.(3P*).3p,2D,5/2,2s.2p.(1P*).3d,2D*,5/2,,T5109LS,,
O,4,,1076.46,,1.18E+07,B,482921.6,575819,2s.2p.(3P*).3p,2D,5/2,2s.2p.(1P*).3d,2D*,3/2,,T5109LS,,
O,4,,1077.23,,3.23E+07,B,501509.2,594340,2s.2p.(3P*).3d,2D*,3/2,2p2.(3P).3s,2P,1/2,,T5109LS,,
O,4,,1079.056,,1.98E+08,B,390248.0,482921.6,2s2.3p,2P*,3/2,2s.2p.(3P*).3p,2D,5/2,,T5109LS,,
O,3,,1079.384,,3.72E+08,B,273081.33,365726.76,2s2.2p.(2P*).3s,1P*,1,2s2.2p.(2P*).4p,1P,1,,T5376,,
O,6,,1080.880,,1.53E+09,A,863333.8,955851,1s2.4p,2P*,1/2,1s2.5d,2D,3/2,,T5118LS,,
O,4,,1080.97,,3E+09,C+,501564.4,594074,2s.2p.(3P*).3d,2D*,5/2,2s.2p.(3P*).4f,2F,7/2,,T5109LS,,
O,4,,1080.97,,2.8E+09,C+,501509.2,594019,2s.2p.(3P*).3d,2D*,3/2,2s.2p.(3P*).4f,2F,5/2,,T5109LS,,
O,4,,1081.024,,1.64E+08,B,390161.2,482666.1,2s2.3p,2P*,1/2,2s.2p.(3P*).3p,2D,3/2,,T5109LS,,
O,6,,1081.522,,1.83E+09,A,863397.7,955860,1s2.4p,2P*,3/2,1s2.5d,2D,5/2,,T5118LS,,
O,4,,1081.61,,2E+08,C+,501564.4,594019,2s.2p.(3P*).3d,2D*,5/2,2s.2p.(3P*).4f,2F,5/2,,T5109LS,,
O,6,,1081.627,,3.05E+08,A,863397.7,955851,1s2.4p,2P*,3/2,1s2.5d,2D,3/2,,T5118LS,,
O,4,,1082.039,,3.27E+07,B,390248.0,482666.1,2s2.3p,2P*,3/2,2s.2p.(3P*).3p,2D,3/2,,T5109LS,,
O,4,,1082.056,,1.43E+08,C+,504095.7,596512.4,2s.2p.(3P*).3d,4P*,5/2,2s.2p.(3P*).4f,4D,3/2,,T5109LS,,
O,4,,1082.751,,4.76E+08,C+,504208.9,596566.2,2s.2p.(3P*).3d,4P*,3/2,2s.2p.(3P*).4f,4D,1/2,,T5109LS,,
O,4,,1082.86,,8.56E+08,C+,504095.7,596444,2s.2p.(3P*).3d,4P*,5/2,2s.2p.(3P*).4f,4D,5/2,,T5109LS,,
O,2,1083.139,1083.134,25,2.55E+07,B,119837.21,212161.881,2s.2p4,4P,5/2,2s2.2p2.(3P).3p,4S*,3/2,,T6172n,L10549,
O,4,,1083.383,,1.52E+09,C+,504208.9,596512.4,2s.2p.(3P*).3d,4P*,3/2,2s.2p.(3P*).4f,4D,3/2,,T5109LS,,
O,4,,1083.613,,2.37E+09,C+,504282.3,596566.2,2s.2p.(3P*).3d,4P*,1/2,2s.2p.(3P*).4f,4D,1/2,,T5109LS,,
O,4,,1084.18,,2.84E+09,C+,504095.7,596331,2s.2p.(3P*).3d,4P*,5/2,2s.2p.(3P*).4f,4D,7/2,,T5109LS,,
O,4,,1084.19,,1.99E+09,C+,504208.9,596444,2s.2p.(3P*).3d,4P*,3/2,2s.2p.(3P*).4f,4D,5/2,,T5109LS,,
O,4,,1084.245,,1.18E+09,C+,504282.3,596512.4,2s.2p.(3P*).3d,4P*,1/2,2s.2p.(3P*).4f,4D,3/2,,T5109LS,,
O,2,1085.056,1085.052,20,1.82E+07,B,120000.43,212161.881,2s.2p4,4P,3/2,2s2.2p2.(3P).3p,4S*,3/2,,T6172n,L10549,
O,4,,1085.286,,4.46E+06,C,482666.1,574807.7,2s.2p.(3P*).3p,2D,3/2,2s2.6f,2F*,5/2,,T5109LS,,
O,2,1086.022,1086.024,18,9.44E+06,C+,120082.86,212161.881,2s.2p4,4P,1/2,2s2.2p2.(3P).3p,4S*,3/2,,T6172n,L10549,
O,3,,1088.168,,4.07E+07,C+,300311.96,392209.53,2s2.2p.(2P*).3p,3P,1,2s2.2p.(2P*).5s,3P*,2,,T5376LS,,
O,4,,1088.304,,3.16E+05,D,482921.6,574807.7,2s.2p.(3P*).3p,2D,5/2,2s2.6f,2F*,5/2,,T5109LS,,
O,4,,1088.304,,4.74E+06,C,482921.6,574807.7,2s.2p.(3P*).3p,2D,5/2,2s2.6f,2F*,7/2,,T5109LS,,
O,3,,1089.717,,1.22E+08,C+,300442.55,392209.53,2s2.2p.(2P*).3p,3P,2,2s2.2p.(2P*).5s,3P*,2,,T5376LS,,
O,3,,1090.657,,5.39E+07,C+,300229.93,391917.80,2s2.2p.(2P*).3p,3P,0,2s2.2p.(2P*).5s,3P*,1,,T5376LS,,
O,3,,1091.633,,4.03E+07,C+,300311.96,391917.80,2s2.2p.(2P*).3p,3P,1,2s2.2p.(2P*).5s,3P*,1,,T5376LS,,
O,3,,1092.672,,1.61E+08,C+,300311.96,391830.76,2s2.2p.(2P*).3p,3P,1,2s2.2p.(2P*).5s,3P*,0,,T5376LS,,
O,3,,1093.192,,6.69E+07,C+,300442.55,391917.80,2s2.2p.(2P*).3p,3P,2,2s2.2p.(2P*).5s,3P*,1,,T5376LS,,
O,4,,1093.774,,1.58E+08,B,419550.6,510977.2,2s2.3d,2D,5/2,2s.2p.(3P*).3d,2F*,7/2,,T5109LS,,
O,4,,1096.07,,7.12E+07,B,482666.1,573901,2s.2p.(3P*).3p,2D,3/2,2s.2p.(3P*).4s,2P*,3/2,,T5109LS,,
O,4,,1096.359,,1.46E+08,B,419533.9,510744.9,2s2.3d,2D,3/2,2s.2p.(3P*).3d,2F*,5/2,,T5109LS,,
O,4,,1096.560,,1.05E+07,B,419550.6,510744.9,2s2.3d,2D,5/2,2s.2p.(3P*).3d,2F*,5/2,,T5109LS,,
O,3,,1098.473,,2.94E+07,C,283759.70,374795.14,2p4,3P,2,2s.2p2.(4P).3p,3D*,3,,T5376LS,,
O,4,,1098.54,,7.07E+08,B,482666.1,573696,2s.2p.(3P*).3p,2D,3/2,2s.2p.(3P*).4s,2P*,1/2,,T5109LS,,
O,4,,1099.15,,6.35E+08,B,482921.6,573901,2s.2p.(3P*).3p,2D,5/2,2s.2p.(3P*).4s,2P*,3/2,,T5109LS,,
O,3,,1100.064,,7.32E+06,D,283759.70,374663.52,2p4,3P,2,2s.2p2.(4P).3p,3D*,2,,T5376LS,,
O,3,,1101.177,,8.1E+05,D,283759.70,374571.64,2p4,3P,2,2s.2p2.(4P).3p,3D*,1,,T5376LS,,
O,3,,1102.705,,2.18E+07,C,283977.40,374663.52,2p4,3P,1,2s.2p2.(4P).3p,3D*,2,,T5376LS,,
O,3,,1103.823,,1.21E+07,D,283977.40,374571.64,2p4,3P,1,2s.2p2.(4P).3p,3D*,1,,T5376LS,,
O,3,,1104.976,,1.6E+07,C,284071.90,374571.64,2p4,3P,0,2s.2p2.(4P).3p,3D*,1,,T5376LS,,
O,4,,1106.93,,2.76E+08,B,478942.9,569283,2s.2p.(3P*).3p,4P,3/2,2s.2p.(3P*).4s,4P*,5/2,,T5109LS,,
O,4,,1108.51,,6.41E+08,B,479072.0,569283,2s.2p.(3P*).3p,4P,5/2,2s.2p.(3P*).4s,4P*,5/2,,T5109LS,,
O,4,,1108.80,,3.81E+08,B,478848.6,569036,2s.2p.(3P*).3p,4P,1/2,2s.2p.(3P*).4s,4P*,3/2,,T5109LS,,
O,4,,1109.96,,1.22E+08,B,478942.9,569036,2s.2p.(3P*).3p,4P,3/2,2s.2p.(3P*).4s,4P*,3/2,,T5109LS,,
O,4,,1110.20,,4.37E+06,C+,499994.9,590069,2s2.4p,2P*,1/2,2s.2p.(3P*).4p,2S,1/2,,T5109LS,,
O,4,,1110.46,,1.52E+08,B,478848.6,568901,2s.2p.(3P*).3p,4P,1/2,2s.2p.(3P*).4s,4P*,1/2,,T5109LS,,
O,4,,1110.73,,8.72E+06,B,500037.8,590069,2s2.4p,2P*,3/2,2s.2p.(3P*).4p,2S,1/2,,T5109LS,,
O,4,,1111.56,,4.09E+08,B,479072.0,569036,2s.2p.(3P*).3p,4P,5/2,2s.2p.(3P*).4s,4P*,3/2,,T5109LS,,
O,4,,1111.63,,7.56E+08,B,478942.9,568901,2s.2p.(3P*).3p,4P,3/2,2s.2p.(3P*).4s,4P*,1/2,,T5109LS,,
O,3,,1114.443,,1.36E+08,C+,313802.77,403533.7,2s2.2p.(2P*).3p,1S,0,2s2.2p.(2P*).5d,1P*,1,,T5376,,
O,4,,1125.47,,1.94E+07,B,492890.9,581743,2s.2p.(3P*).3p,2S,1/2,2s.2p.(1P*).3d,2P*,3/2,,T5109LS,,
O,4,,1125.74,,1.93E+07,B,492890.9,581721,2s.2p.(3P*).3p,2S,1/2,2s.2p.(1P*).3d,2P*,1/2,,T5109LS,,
O,6,,1126.351,,3.16E+06,B,867077.7,955860,1s2.4f,2F*,5/2,1s2.5d,2D,5/2,,T3127LS,,
O,6,,1126.465,,6.63E+07,B,867077.7,955851,1s2.4f,2F*,5/2,1s2.5d,2D,3/2,,T3127LS,,
O,6,,1126.469,,6.31E+07,B,867087.0,955860,1s2.4f,2F*,7/2,1s2.5d,2D,5/2,,T3127LS,,
O,2,1128.081,1128.070,50,3.32E+07,B,119837.21,208484.202,2s.2p4,4P,5/2,2s2.2p2.(3P).3p,4P*,5/2,,T6172n,L10549,
O,2,1129.251,1129.241,40,2.21E+07,B,119837.21,208392.258,2s.2p4,4P,5/2,2s2.2p2.(3P).3p,4P*,3/2,,T6172n,L10549,
O,2,1130.147,1130.151,40,1.33E+07,B,120000.43,208484.202,2s.2p4,4P,3/2,2s2.2p2.(3P).3p,4P*,5/2,,T6172n,L10549,
O,2,1131.325,1131.326,20,6.05E+06,B,120000.43,208392.258,2s.2p4,4P,3/2,2s2.2p2.(3P).3p,4P*,3/2,,T6172n,L10549,
O,2,1131.914,1131.917,35,3.89E+07,B,120000.43,208346.104,2s.2p4,4P,3/2,2s2.2p2.(3P).3p,4P*,1/2,,T6172n,L10549,
O,2,1132.389,1132.382,35,1.82E+07,B,120082.86,208392.258,2s.2p4,4P,1/2,2s2.2p2.(3P).3p,4P*,3/2,,T6172n,L10549,
O,2,1132.975,1132.974,18,7.45E+06,B,120082.86,208346.104,2s.2p4,4P,1/2,2s2.2p2.(3P).3p,4P*,1/2,,T6172n,L10549,
O,4,,1135.34,,2.52E+06,C+,485821.7,573901,2s2.4s,2S,1/2,2s.2p.(3P*).4s,2P*,3/2,,T5109LS,,
O,4,,1137.99,,2.5E+06,C+,485821.7,573696,2s2.4s,2S,1/2,2s.2p.(3P*).4s,2P*,1/2,,T5109LS,,
O,3,,1138.535,,1.81E+08,B,210461.8,298294.0,2s.2p3,1P*,1,2p4,1D,2,,"T5376,T5791",,
O,2,1142.601,1142.602,8,,,185499.124,273018.7,2s2.2p2.(3P).3s,4P,5/2,2s2.2p2.(3P).7p,4P*,5/2,,,L10549,
O,2,1142.947,1142.947,7,,,185235.281,272728.4,2s2.2p2.(3P).3s,4P,1/2,2s2.2p2.(3P).7p,4D*,3/2,,,L10549,
O,2,1143.258,1143.259,10,,,185499.124,272968.4,2s2.2p2.(3P).3s,4P,5/2,2s2.2p2.(3P).7p,4D*,7/2,,,L10549,
O,2,1143.548,1143.548,9,,,185340.577,272787.7,2s2.2p2.(3P).3s,4P,3/2,2s2.2p2.(3P).7p,4D*,5/2,,,L10549,
O,2,1147.246,1147.246,10,5.78E+06,C+,119837.21,207002.482,2s.2p4,4P,5/2,2s2.2p2.(3P).3p,4D*,7/2,,T6172n,L10549,
O,2,1148.895,1148.888,10,1.22E+06,C+,119837.21,206877.865,2s.2p4,4P,5/2,2s2.2p2.(3P).3p,4D*,5/2,,T6172n,L10549,
O,2,,1149.360,,7.01E+06,D,165988.46,252993.39,2s.2p4,2D,5/2,2s2.2p2.(1S).3p,2P*,3/2,,T5723LS,,
O,2,,1149.466,,7.78E+05,E,165996.50,252993.39,2s.2p4,2D,3/2,2s2.2p2.(1S).3p,2P*,3/2,,T5723LS,,
O,2,,1149.548,,7.78E+06,D,165996.50,252987.23,2s.2p4,2D,3/2,2s2.2p2.(1S).3p,2P*,1/2,,T5723LS,,
O,3,,1149.584,,5.2E+07,C+,350024.49,437012.5,2s.2p2.(4P).3s,3P,0,2s.2p2.(4P).4p,3S*,1,,T5376LS,,
O,3,,1149.634,,4.2E+08,C+,197087.7,284071.90,2s.2p3,3S*,1,2p4,3P,0,,"T5376,T5791,LS",,
O,2,,1150.098,,1.52E+05,D,119837.21,206786.286,2s.2p4,4P,5/2,2s2.2p2.(3P).3p,4D*,3/2,,T6172n,L11267,
O,3,,1150.884,,4.19E+08,C+,197087.7,283977.40,2s.2p3,3S*,1,2p4,3P,1,,"T5376,T5791,LS",,
O,3,,1150.906,,1.56E+08,C+,350124.45,437012.5,2s.2p2.(4P).3s,3P,1,2s.2p2.(4P).4p,3S*,1,,T5376LS,,
O,2,,1151.047,,4.61E+06,C,120000.43,206877.865,2s.2p4,4P,3/2,2s2.2p2.(3P).3p,4D*,5/2,,T6172n,L11267,
O,1,1152.1512,1152.151,40,5.28E+08,B,15867.862,102662.026,2s2.2p4,1D,2,2s2.2p3.(2D*).3s,1D*,2,,T5713,L3460,
O,2,,1152.261,,2.78E+06,C+,120000.43,206786.286,2s.2p4,4P,3/2,2s2.2p2.(3P).3p,4D*,3/2,,T6172n,L11267,
O,2,,1152.999,,7.27E+05,C+,120000.43,206730.762,2s.2p4,4P,3/2,2s2.2p2.(3P).3p,4D*,1/2,,T6172n,L11267,
O,3,,1153.022,,2.25E+08,B,290958.25,377686.83,2s2.2p.(2P*).3p,1P,1,2s2.2p.(2P*).4d,1D*,2,,T5376,,
O,3,,1153.215,,2.58E+08,C+,350298.38,437012.5,2s.2p2.(4P).3s,3P,2,2s.2p2.(4P).4p,3S*,1,,T5376LS,,
O,2,1153.368,1153.357,15,2.89E+06,C,120082.86,206786.286,2s.2p4,4P,1/2,2s2.2p2.(3P).3p,4D*,3/2,,T6172n,L10549,
O,3,,1153.775,,4.16E+08,C+,197087.7,283759.70,2s.2p3,3S*,1,2p4,3P,2,,"T5376,T5791,LS",,
O,2,1154.102,1154.096,15,5.05E+06,C,120082.86,206730.762,2s.2p4,4P,1/2,2s2.2p2.(3P).3p,4D*,1/2,,T6172n,L10549,
O,4,,1155.25,,4.45E+06,C+,452806.6,539368,2s.2p.(3P*).3s,2P*,1/2,2s2.5s,2S,1/2,,T5109LS,,
O,4,,1158.80,,8.81E+06,B,453071.5,539368,2s.2p.(3P*).3s,2P*,3/2,2s2.5s,2S,1/2,,T5109LS,,
O,3,,1160.155,,1.94E+08,C+,306586.08,392781.47,2s2.2p.(2P*).3p,1D,2,2s2.2p.(2P*).5s,1P*,1,,T5376,,
O,4,,1162.070,,2.94E+07,C+,510744.9,596798.2,2s.2p.(3P*).3d,2F*,5/2,2s.2p.(3P*).4f,2D,3/2,,T5109LS,,
O,8,,1163.3656,,1.537E+09,AA,-6747312.6360,-6833270.1380,5p,2P*,1/2,6d,2D,3/2,,T6492extrap,,
O,8,,1163.4289,,9.961E+08,AA,-6747317.4070,-6833270.2344,5s,2S,1/2,6p,2P*,3/2,,T6492extrap,,
O,4,,1163.963,,1.39E+06,C,510744.9,596658.3,2s.2p.(3P*).3d,2F*,5/2,2s.2p.(3P*).4f,2D,5/2,,T5109LS,,
O,8,,1164.0804,,3.67E+08,AA,-6747312.6360,-6833217.3570,5p,2P*,1/2,6s,2S,1/2,,T6492extrap,,
O,4,,1164.13,,2.03E+07,B,510574.1,596475,2s2.4d,2D,5/2,2s.2p.(3P*).4d,2F*,7/2,,T5109LS,,
O,8,,1164.1825,,9.947E+08,AA,-6747317.4070,-6833214.5940,5s,2S,1/2,6p,2P*,1/2,,T6492extrap,,
O,4,,1164.321,,3.18E+09,C+,510744.9,596631.9,2s.2p.(3P*).3d,2F*,5/2,2s.2p.(3P*).4f,2G,7/2,,T5109LS,,
O,4,,1164.34,,5.98E+07,B,514220.4,600106,2s.2p.(3P*).3d,2P*,3/2,2p2.(1D).3s,2D,5/2,,T5109LS,,
O,8,,1164.4154,,2.767E+09,AA,-6747408.6240,-6833288.6275,5d,2D,3/2,6f,2F*,5/2,,T6492extrap,,
O,8,,1164.4172,,1.841E+09,AA,-6747408.7880,-6833288.6610,5p,2P*,3/2,6d,2D,5/2,,T6492extrap,,
O,4,,1164.53,,9.97E+06,B,514220.4,600092,2s.2p.(3P*).3d,2P*,3/2,2p2.(1D).3s,2D,3/2,,T5109LS,,
O,4,,1164.546,,3.3E+09,C+,510977.2,596847.6,2s.2p.(3P*).3d,2F*,7/2,2s.2p.(3P*).4f,2G,9/2,,T5109LS,,
O,8,,1164.6649,,3.936E+07,AA,-6747408.6240,-6833270.2344,5d,2D,3/2,6p,2P*,3/2,,T6492extrap,,
O,8,,1164.6684,,3.067E+08,AA,-6747408.7880,-6833270.1380,5p,2P*,3/2,6d,2D,3/2,,T6492extrap,,
O,8,,1164.7234,,4.371E+09,AA,-6747440.5739,-6833297.8685,5f,2F*,5/2,6g,2G,7/2,,T6492extrap,,
O,8,,1164.7239,,2.963E+09,AA,-6747440.6320,-6833297.8861,5d,2D,5/2,6f,2F*,7/2,,T6492extrap,,
O,8,,1164.8483,,7.629E+06,AA,-6747440.5739,-6833288.6610,5f,2F*,5/2,6d,2D,5/2,,T6492extrap,,
O,8,,1164.8496,,1.975E+08,AA,-6747440.6320,-6833288.6275,5d,2D,5/2,6f,2F*,5/2,,T6492extrap,,
O,8,,1164.8648,,6.592E+09,AA,-6747456.5421,-6833303.4119,5g,2G,7/2,6h,2H*,9/2,,T6492extrap,,
O,8,,1164.8651,,4.531E+09,AA,-6747456.5724,-6833303.4228,5f,2F*,7/2,6g,2G,9/2,,T6492extrap,,
O,8,,1164.9398,,1.295E+06,AA,-6747456.5421,-6833297.8861,5g,2G,7/2,6f,2F*,7/2,,T6492extrap,,
O,8,,1164.9405,,1.618E+08,AA,-6747456.5724,-6833297.8685,5f,2F*,7/2,6g,2G,7/2,,T6492extrap,,
O,8,,1164.9448,,6.74E+09,AA,-6747466.1397,-6833307.1145,5g,2G,9/2,6h,2H*,11/2,,T6492extrap,,
O,8,,1164.9951,,1.498E+08,AA,-6747466.1397,-6833303.4119,5g,2G,9/2,6h,2H*,9/2,,T6492extrap,,
O,8,,1165.0654,,1.525E+08,AA,-6747456.5724,-6833288.6610,5f,2F*,7/2,6d,2D,5/2,,T6492extrap,,
O,8,,1165.0655,,4.661E+07,AA,-6747456.5421,-6833288.6275,5g,2G,7/2,6f,2F*,5/2,,T6492extrap,,
