element,sp_num,obs_wl_vac(A),unc_obs_wl,ritz_wl_vac(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,3,1386.390,0.005,1386.3855,0.0012,550,,,70725.46,142855.47,3d5.(4G).4s,3G,3,3d5.(a 2G).4p,3H*,4,,,L11223,
Fe,2,1386.462,0.002,1386.46214,0.00006,4000,,,22637.1950,94763.218,3d6.(3F2).4s,b 4F,9/2,3d5.(4D).4s.4p.(3P*),6P*,7/2,,,L18349c140,
Fe,5,1386.467,0.004,1386.4670,0.0023,63,6.9E+06,C,188395.37,260521.14,3d3.(4F).4s,5F,5,3d3.(4F).4p,5F*,4,,T6653c93,L3625,
Fe,3,1386.657,0.005,1386.6689,0.0015,3300,,,63466.85,135582.12,3d5.(4G).4s,5G,5,3d5.(2I).4p,1I*,6,,,L11223,
Fe,2,1386.798,0.002,1386.79577,0.00006,1200,2.2E+06,D,26170.1810,98278.852,3d6.(3H).4s,b 2H,11/2,3d6.(1G1).4p,2H*,11/2,,T6892c83,L18349c140,
Fe,2,1387.085,0.002,1387.08634,0.00006,1100,,,42334.8444,114428.410,3d6.(5D).4p,z 6F*,5/2,3d6.(5D).6d,114428,7/2,,,L18349c140,
Fe,5,1387.092,0.007,1387.094,0.003,1100*,7.1E+08,C,204975.19,277068.37,3d3.(4P).4s,5P,2,3d3.(4P).4p,5D*,3,,T6653c93,L3625,
Fe,5,1387.092,0.007,1387.0959,0.0017,1100*,1.6E+08,C,212817.95,284911.02,3d3.(4P).4s,3P,1,3d3.(2P).4p,3D*,2,,T6653c93,L3625,
Fe,2,1387.207,0.002,1387.2048,0.0006,7000,,,21307.999,93395.407,3d7,a 2D2,3/2,3d6.(3F1).4p,u 4F*,5/2,,,L18349c140,
Fe,3,1387.216,0.010,1387.2023,0.0012,120000bl,,,63466.85,135554.39,3d5.(4G).4s,5G,5,3d5.(a 2F).4p,3G*,4,,,L11223,
Fe,2,1387.446,0.002,1387.44475,0.00006,5000bl(Fe II)*,3.6E+07,D,26932.7348,99007.677,3d6.(3P2).4s,b 2P,1/2,3d5.(4D).4s.4p.(3P*),4D*,1/2,,T6892c83,L18349c140,
Fe,2,1387.446,0.002,1387.45314,0.00006,5000bl(Fe II)*,,,42401.3198,114475.826,3d6.(5D).4p,z 6F*,3/2,3d6.(5D).6d,114475,5/2,,,L18349c140,
Fe,2,1387.515,0.002,1387.52206,0.00008,5000,,,31811.814,103882.740,3d7,b 2F,5/2,3d6.(5D<1>).4f,2[4]*,7/2,,,L18349c140,
Fe,3,1387.529,0.005,1387.5291,0.0013,6000,,,50276.19,122346.75,3d6,b 3F,4,3d5.(4P).4p,3D*,3,,,L11223,
Fe,2,1387.865,0.002,1387.86352,0.00006,4000,,,42237.0575,114290.252,3d6.(5D).4p,z 6F*,7/2,3d6.(5D).6d,6G,9/2,,,L18349c140,
Fe,3,1387.894,0.005,1387.8933,0.0013,3300,,,50295.10,122346.75,3d6,b 3F,3,3d5.(4P).4p,3D*,3,,,L11223,
Fe,3,,,1387.9098,0.0019,,1E+01,D+,21461.92,93512.71,3d6,a 3F,4,3d5.(a 2G).4s,1G,4,E2,u45,,
Fe,5,1387.938,0.004,1387.938,0.003,4000,9.6E+08,B,217122.30,289171.64,3d3.(2H).4s,3H,6,3d3.(2H).4p,3I*,7,,T6653c93,L3625,
Fe,6,,,1387.946,0.010,,1.3E-01,E,0.0,72048.9,3d3,4F,3/2,3d3,2D1,3/2,M1,T3475,,
Fe,6,,,1387.946,0.010,,4.1E-03,E,0.0,72048.9,3d3,4F,3/2,3d3,2D1,3/2,E2,T3475,,
Fe,5,1388.040,0.004,1388.0401,0.0023,59,3.6E+07,C,195196.47,267240.50,3d3.(4F).4s,3F,2,3d3.(4F).4p,3F*,3,,T6653c93,L3625,
Fe,2,1388.062,0.002,1388.06226,0.00006,4000,,,42114.8380,114157.716,3d6.(5D).4p,z 6F*,9/2,3d6.(5D).6d,4G,11/2,,,L18349c140,
Fe,5,1388.195,0.004,1388.1938,0.0017,1100,3.8E+08,C,204729.74,276765.79,3d3.(4P).4s,5P,1,3d3.(4P).4p,3P*,1,,T6653c93,L3625,
Fe,5,1388.328,0.004,1388.3235,0.0017,1400,3.9E+08,C,204729.74,276759.06,3d3.(4P).4s,5P,1,3d3.(4P).4p,5D*,2,,T6653c93,L3625,
Fe,2,1388.343,0.002,1388.34204,0.00006,4000,9E+06,D,21812.0454,93840.405,3d6.(3P2).4s,b 4P,3/2,3d5.(4D).4s.4p.(3P*),6D*,3/2,,T6892c83,L18349c140,
Fe,2,1388.524,0.002,1388.52410,0.00006,6000,1.6E+07,D,21812.0454,93830.961,3d6.(3P2).4s,b 4P,3/2,3d5.(4D).4s.4p.(3P*),6D*,5/2,,T6892c83,L18349c140,
Fe,2,1388.592,0.002,1388.59928,0.00006,7000,3.4E+07,D+,27620.4033,99635.420,3d6.(3F2).4s,a 2F,5/2,3d5.(4G).4s.4p.(3P*),2G*,7/2,,T6892c83,L18349c140,
Fe,5,1389.000,0.004,1389.0048,0.0019,1100,2.8E+08,C,208837.95,280831.94,3d3.(2G).4s,3G,3,3d3.(2G).4p,3F*,3,,T6653c93,L3625,
Fe,2,1389.194,0.005,1389.19314,0.00006,10000,,,667.6829,72651.914,3d6.(5D).4s,a 6D,5/2,3d6.(3D).4p,w 4D*,7/2,,,L18349c141,
Fe,2,1389.659,0.002,1389.66048,0.00006,7000,,,20340.2461,92300.269,3d7,a 2H,11/2,3d5.(4D).4s.4p.(3P*),6F*,9/2,,,L18349c140,
Fe,5,1389.762,0.004,1389.7693,0.0021,160,5.6E+06,C,186725.71,258680.10,3d3.(4F).4s,5F,2,3d3.(4F).4p,5D*,3,,T6653c93,L3625,
Fe,2,1390.118,0.002,1390.12136,0.00006,600,,,42237.0575,114173.223,3d6.(5D).4p,z 6F*,7/2,3d6.(5D).6d,6D,7/2,,,L18349c140,
Fe,3,1390.147,0.005,1390.1477,0.0015,4500,,,50411.95,122346.75,3d6,b 3P,2,3d5.(4P).4p,3D*,3,,,L11223,
Fe,3,,,1390.2283,0.0019,,1.4E+01,D+,21461.92,93392.55,3d6,a 3F,4,3d5.(b 2F).4s,3F,3,E2,u45,,
Fe,3,,,1390.3014,0.0019,,3.7E+01,D+,21461.92,93388.77,3d6,a 3F,4,3d5.(b 2F).4s,3F,4,E2,u45,,
Fe,2,1390.312,0.002,1390.31464,0.00006,7000bl(Fe II)*,,,42658.2444,114584.409,3d6.(5D).4p,z 6P*,7/2,3d6.(5D).6d,114584,5/2,,,L18349c140,
Fe,2,1390.312,0.002,1390.31619,0.00006,7000bl(Fe II)*,,,26352.7671,98278.852,3d6.(3H).4s,b 2H,9/2,3d6.(1G1).4p,2H*,11/2,,,L18349c140,
Fe,5,1390.713,0.004,1390.7138,0.0017,410,5.1E+07,C+,214525.59,286431.11,3d3.(2P).4s,3P,2,3d3.(4P).4p,3D*,3,,T6653c93,L3625,
Fe,2,1390.912,0.002,1390.91017,0.00008,1200bl(Fe II)*,,,44446.9051,116342.274,3d6.(5D).4p,z 4D*,7/2,3d5.4s.(5S).4d,6D,7/2,,,L18349c140,
Fe,2,1390.912,0.002,1390.91596,0.00006,1200bl(Fe II)*,,,42114.8380,114009.908,3d6.(5D).4p,z 6F*,9/2,3d6.(5D).6d,4D,7/2,,,L18349c140,
Fe,5,1390.972,0.004,1390.9690,0.0019,340,5.8E+07,C,220620.76,292513.09,3d3.(2D2).4s,1D,2,3d3.(2H).4p,3G*,3,,T6653c93,L3625,
Fe,2,1391.079,0.002,1391.07789,0.00008,500,,,31811.814,103698.515,3d7,b 2F,5/2,3d6.(5D<2>).4f,2[3]*,5/2,,,L18349c140,
Fe,2,1391.307,0.002,1391.30944,0.00006,2600,,,22810.3459,94685.083,3d6.(3F2).4s,b 4F,7/2,3d5.(4D).4s.4p.(3P*),6P*,5/2,,,L18349c140,
Fe,3,1391.382,0.005,1391.3905,0.0021,730,,,77044.67,148915.22,3d6,b 1D,2,3d5.(2S).4p,3P*,1,,,L11223,
Fe,2,1391.667,0.002,1391.65523,0.00006,800,,,667.6829,72524.561,3d6.(5D).4s,a 6D,5/2,3d6.(3D).4p,w 4D*,3/2,,,L18349c140,
Fe,3,1391.792,0.005,1391.7925,0.0014,4400,1.4E+07,D,63466.85,135316.64,3d5.(4G).4s,5G,5,3d5.(a 2F).4p,3G*,5,,T6105,L11223,
Fe,2,1391.799,0.002,1391.8020,0.0004,700,,,23031.2829,94880.585,3d6.(3F2).4s,b 4F,3/2,3d5.(4P).4s.4p.(3P*),4P*,1/2,,,L18349c140,
Fe,2,1391.950,0.002,1391.94936,0.00006,2600bl(Fe II)*,,,42114.8380,113956.532,3d6.(5D).4p,z 6F*,9/2,3d6.(5D).6d,6D,9/2,,,L18349c140,
Fe,2,1391.950,0.002,1391.94979,0.00006,2600bl(Fe II)*,,,20516.9534,92358.625,3d7,a 2D2,5/2,3d5.(4G).4s.4p.(3P*),v 4F*,3/2,,,L18349c140,
Fe,3,1391.997,0.005,1391.9907,0.0019,8100,,,77075.66,148915.22,3d5.(4D).4s,3D,1,3d5.(2S).4p,3P*,1,,,L11223,
Fe,2,1392.011,0.002,1392.01360,0.00006,1400,,,42334.8444,114173.223,3d6.(5D).4p,z 6F*,5/2,3d6.(5D).6d,6D,7/2,,,L18349c140,
Fe,2,1392.138,0.002,1392.14799,0.00006,8000,8E+07,D+,20340.2461,92171.690,3d7,a 2H,11/2,3d6.(3F1).4p,u 2G*,9/2,,T6892c83,L18349c140,
Fe,3,1392.194,0.005,1392.1892,0.0014,2400,,,63487.32,135316.64,3d5.(4G).4s,5G,4,3d5.(a 2F).4p,3G*,5,,,L11223,
Fe,5,1392.269,0.004,1392.2725,0.0023,510,6E+07,C+,213649.03,285474.05,3d3.(4P).4s,3P,2,3d3.(2P).4p,3D*,3,,T6653c93,L3625,
Fe,3,1392.516,0.005,1392.5141,0.0019,990,,,77102.66,148915.22,3d5.(4D).4s,3D,2,3d5.(2S).4p,3P*,1,,,L11223,
Fe,3,1392.576,0.005,1392.5755,0.0012,990,,,70725.46,142534.85,3d5.(4G).4s,3G,3,3d5.(4F).4p,3F*,2,,,L11223,
Fe,2,1392.773,0.005,1392.76183,0.00008,3100,,,22939.3512,94739.136,3d6.(3F2).4s,b 4F,5/2,3d5.(4P).4s.4p.(3P*),4P*,3/2,,,L18349c141,
Fe,5,1392.941,0.004,1392.9400,0.0019,270,4.5E+07,C,204975.19,276765.79,3d3.(4P).4s,5P,2,3d3.(4P).4p,3P*,1,,T6653c93,L3625,
Fe,2,1393.069,0.005,1393.07770,0.00006,1900,,,32875.6409,104659.146,3d6.(1I).4s,a 2I,13/2,3d5.(2I).4s.4p.(3P*),4H*,13/2,,,L18349c141,
Fe,5,1393.073,0.004,1393.0706,0.0019,1100,2.6E+08,C,204975.19,276759.06,3d3.(4P).4s,5P,2,3d3.(4P).4p,5D*,2,,T6653c93,L3625,
Fe,2,1393.217,0.002,1393.21668,0.00010,8000bl(Fe II)*,,,37227.277,109003.621,3d6.(1S2).4s,a 2S,1/2,3d5.(2F1).4s.4p.(3P*),4D*,3/2,,,L18349c140,
Fe,2,1393.217,0.002,1393.21787,0.00014,8000bl(Fe II)*,2.1E+07,D+,20340.2461,92116.529,3d7,a 2H,11/2,3d5.(4G).4s.4p.(3P*),x 4H*,9/2,,T6892c83,L18349c140,
Fe,3,1393.281,0.005,1393.2818,0.0014,540,,,63466.85,135239.84,3d5.(4G).4s,5G,5,3d5.(4F).4p,5G*,4,,,L11223,
Fe,2,1393.315,0.002,1393.31542,0.00006,1000,,,43238.6066,115009.864,3d6.(5D).4p,z 6P*,5/2,3d6.(5D).6d,6P,3/2,,,L18349c140,
Fe,2,1393.497,0.002,1393.49868,0.00006,6000,,,41968.0698,113729.889,3d6.(5D).4p,z 6F*,11/2,3d6.(5D).6d,6G,13/2,,,L18349c140,
Fe,2,1393.679,0.002,1393.68153,0.00006,4000,,,42114.8380,113867.242,3d6.(5D).4p,z 6F*,9/2,3d6.(5D).6d,6G,11/2,,,L18349c140,
Fe,3,1393.680,0.005,1393.6793,0.0012,4400,,,63487.32,135239.84,3d5.(4G).4s,5G,4,3d5.(4F).4p,5G*,4,,,L11223,
Fe,3,1393.831,0.005,1393.8232,0.0014,2400,,,63494.73,135239.84,3d5.(4G).4s,5G,3,3d5.(4F).4p,5G*,4,,,L11223,
Fe,2,1393.892,0.002,1393.89381,0.00006,5000,,,43238.6066,114980.083,3d6.(5D).4p,z 6P*,5/2,3d6.(5D).6d,6P,7/2,,,L18349c140,
Fe,3,1394.019,0.005,1394.0222,0.0016,4400,1.3E+07,D,50184.97,121919.84,3d6,b 3F,2,3d5.(4G).4p,3G*,3,,T6105,L11223,
Fe,5,1394.272,0.004,1394.2712,0.0019,1300,4.6E+08,C,209109.88,280831.94,3d3.(2G).4s,3G,4,3d3.(2G).4p,3F*,3,,T6653c93,L3625,
Fe,3,,,1394.4419,0.0018,,2.4E+01,D+,21699.79,93413.07,3d6,a 3F,3,3d5.(b 2F).4s,3F,2,E2,u45,,
Fe,6,,,1394.552,0.010,,9.4E-03,E,0.0,71707.6,3d3,4F,3/2,3d3,2D1,5/2,M1,T3475,,
Fe,6,,,1394.552,0.010,,6.3E-04,E,0.0,71707.6,3d3,4F,3/2,3d3,2D1,5/2,E2,T3475,,
Fe,5,1394.599,0.004,1394.6013,0.0021,280,4.8E+08,C,204729.74,276434.82,3d3.(4P).4s,5P,1,3d3.(4P).4p,5D*,0,,T6653c93,L3625,
Fe,5,1394.665,0.004,1394.6686,0.0019,1300,5.7E+08,C,208837.95,280539.57,3d3.(2G).4s,3G,3,3d3.(2G).4p,3F*,2,,T6653c93,L3625,
Fe,2,1394.711,0.002,1394.71053,0.00006,1600bl(Fe II)*,,,31999.049,103698.515,3d7,b 2F,7/2,3d6.(5D<2>).4f,2[3]*,5/2,,,L18349c140,
Fe,2,1394.711,0.002,1394.71108,0.00008,1600bl(Fe II)*,,,20516.9534,92216.391,3d7,a 2D2,5/2,3d6.(3P1).4p,u 2D*,3/2,,,L18349c140,
Fe,3,,,1394.8410,0.0016,,3.1E+01,D+,21699.79,93392.55,3d6,a 3F,3,3d5.(b 2F).4s,3F,3,E2,u45,,
Fe,3,,,1394.9145,0.0016,,9E+00,D+,21699.79,93388.77,3d6,a 3F,3,3d5.(b 2F).4s,3F,4,E2,u45,,
Fe,3,1395.209,0.005,1395.2141,0.0014,8100,1.4E+07,D,50276.19,121949.78,3d6,b 3F,4,3d5.(4G).4p,3G*,5,,T6105,L11223,
Fe,3,1395.382,0.005,1395.3758,0.0014,2400,,,50276.19,121941.47,3d6,b 3F,4,3d5.(4G).4p,3G*,4,,,L11223,
Fe,5,1395.442,0.004,1395.4411,0.0019,410,1.3E+08,C,214525.59,286187.52,3d3.(2P).4s,3P,2,3d3.(2P).4p,3S*,1,,T6653c93,L3625,
Fe,2,1395.703,0.005,1395.69572,0.00006,1100,,,42658.2444,114307.099,3d6.(5D).4p,z 6P*,7/2,3d6.(5D).6d,6F,5/2,,,L18349c141,
Fe,3,1395.745,0.005,1395.7441,0.0014,6000,1.3E+07,D,50295.10,121941.47,3d6,b 3F,3,3d5.(4G).4p,3G*,4,,T6105,L11223,
Fe,3,1396.170,0.005,1396.1656,0.0014,730,,,50295.10,121919.84,3d6,b 3F,3,3d5.(4G).4p,3G*,3,,,L11223,
Fe,3,1396.602,0.010,1396.6036,0.0012,3300*,1.7E+07,D,63494.73,135097.01,3d5.(4G).4s,5G,3,3d5.(4F).4p,5G*,3,,T6105,L11223,
Fe,3,1396.602,0.010,1396.6088,0.0018,3300*,,,63495.00,135097.01,3d5.(4G).4s,5G,2,3d5.(4F).4p,5G*,3,,,L11223,
Fe,2,1396.618,0.005,1396.61297,0.00006,1200,,,42114.8380,113716.636,3d6.(5D).4p,z 6F*,9/2,3d6.(5D).6d,113716,7/2,,,L18349c141,
Fe,3,1396.830,0.005,1396.8244,0.0016,540,,,87902.06,159493.02,3d5.(a 2F).4s,1F,3,3d5.(b 2D).4p,1F*,3,,,L11223,
Fe,2,1396.860,0.005,1396.86307,0.00006,1200,,,41968.0698,113557.048,3d6.(5D).4p,z 6F*,11/2,3d6.(5D).6d,6F,9/2,,,L18349c141,
Fe,3,1396.968,0.005,1396.9667,0.0012,990,,,70729.12,142312.79,3d5.(4G).4s,3G,4,3d5.(4F).4p,3F*,3,,,L11223,
Fe,2,1396.969,0.002,1396.96660,0.00014,600bl(Fe II)*,,,27314.9183,98898.591,3d6.(3F2).4s,a 2F,7/2,3d6.(1G1).4p,2F*,7/2,,,L18349c140,
Fe,2,1396.969,0.002,1396.9727,0.0006,600bl(Fe II)*,,,21812.0454,93395.407,3d6.(3P2).4s,b 4P,3/2,3d6.(3F1).4p,u 4F*,5/2,,,L18349c140,
Fe,5,1397.106,0.004,1397.1115,0.0020,760,4E+08,C,214611.27,286187.52,3d3.(2P).4s,3P,1,3d3.(2P).4p,3S*,1,,T6653c93,L3625,
Fe,2,1397.319,0.005,1397.31485,0.00010,1500,,,37227.277,108793.109,3d6.(1S2).4s,a 2S,1/2,3d5.(2F1).4s.4p.(3P*),4D*,1/2,,,L18349c141,
Fe,2,1397.423,0.002,1397.42832,0.00006,7000,,,41968.0698,113528.091,3d6.(5D).4p,z 6F*,11/2,3d6.(5D).6d,6F,11/2,,,L18349c140,
Fe,3,,,1397.5070,0.0020,,4.1E+01,D+,21857.08,93413.07,3d6,a 3F,2,3d5.(b 2F).4s,3F,2,E2,u45,,
Fe,2,1397.566,0.002,1397.56382,0.00008,8000,,,31811.814,103364.897,3d7,b 2F,5/2,3d6.(5D<3>).4f,2[3]*,5/2,,,L18349c140,
Fe,5,1397.753,0.004,1397.7545,0.0020,510,1.05E+08,C,214611.27,286154.59,3d3.(2P).4s,3P,1,3d3.(2D2).4p,3F*,2,,T6653c93,L3625,
Fe,2,1397.836,0.002,1397.84048,0.00008,8000,1.7E+08,D+,25787.5816,97326.503,3d6.(3P2).4s,b 2P,3/2,3d5.(4P).4s.4p.(3P*),2P*,3/2,,T6892c83,L18349c140,
Fe,6,,,1397.866,0.010,,2.5E-01,E,511.3,72048.9,3d3,4F,5/2,3d3,2D1,3/2,M1,T3475,,
Fe,3,,,1397.9079,0.0020,,1.2E+01,D+,21857.08,93392.55,3d6,a 3F,2,3d5.(b 2F).4s,3F,3,E2,u45,,
Fe,5,1397.972,0.004,1397.973,0.003,2200,2.1E+08,C,205536.21,277068.37,3d3.(4P).4s,5P,3,3d3.(4P).4p,5D*,3,,T6653c93,L3625,
Fe,5,1398.166,0.004,1398.1624,0.0020,13,1.02E+07,C,187157.65,258680.10,3d3.(4F).4s,5F,3,3d3.(4F).4p,5D*,3,,T6653c93,L3625,
Fe,2,1398.378,0.002,1398.3824,0.0004,8000,1.8E+07,D+,22637.1950,94148.39,3d6.(3F2).4s,b 4F,9/2,3d5.(4G).4s.4p.(3P*),w 4G*,9/2,,T6892c83,L18349c140,
Fe,2,1398.627,0.002,1398.62947,0.00014,1900,3.2E+06,D,26352.7671,97851.332,3d6.(3H).4s,b 2H,9/2,3d6.(1G1).4p,2H*,9/2,,T6892c83,L18349c140,
Fe,3,1398.823,0.005,1398.8221,0.0012,730,,,63487.32,134976.04,3d5.(4G).4s,5G,4,3d5.(a 2D).4p,3D*,3,,,L11223,
Fe,3,1398.964,0.010,1398.9671,0.0014,1800*,,,63494.73,134976.04,3d5.(4G).4s,5G,3,3d5.(a 2D).4p,3D*,3,,,L11223,
Fe,3,1398.964,0.010,1398.9724,0.0020,1800*,,,63495.00,134976.04,3d5.(4G).4s,5G,2,3d5.(a 2D).4p,3D*,3,,,L11223,
Fe,2,1399.055,0.002,1399.05718,0.00006,8000,1.9E+07,D+,20805.7632,92282.470,3d7,a 2H,9/2,3d5.(4G).4s.4p.(3P*),v 4F*,7/2,,T6892c83,L18349c140,
Fe,2,1399.531,0.002,1399.54258,0.00006,6000,,,20830.5534,92282.470,3d6.(3P2).4s,b 4P,5/2,3d5.(4G).4s.4p.(3P*),v 4F*,7/2,,,L18349c140,
Fe,3,1399.710,0.010,1399.7086,0.0014,3300*,,,63494.73,134938.17,3d5.(4G).4s,5G,3,3d5.(4F).4p,5G*,2,,,L11223,
Fe,3,1399.710,0.010,1399.7139,0.0020,3300*,,,63495.00,134938.17,3d5.(4G).4s,5G,2,3d5.(4F).4p,5G*,2,,,L11223,
Fe,2,1399.957,0.002,1399.96049,0.00008,7000,1.8E+07,D,22409.8178,93840.405,3d6.(3P2).4s,b 4P,1/2,3d5.(4D).4s.4p.(3P*),6D*,3/2,,T6892c83,L18349c140,
Fe,2,1400.031,0.002,1400.03271,0.00006,4000,,,43620.9842,115047.887,3d6.(5D).4p,z 6P*,3/2,3d6.(5D).6d,6P,5/2,,,L18349c140,
Fe,2,1400.157,0.002,1400.15759,0.00006,700,,,22637.1950,94057.727,3d6.(3F2).4s,b 4F,9/2,3d5.(4D).4s.4p.(3P*),6D*,9/2,,,L18349c140,
Fe,5,1400.243,0.004,1400.237,0.003,3600,7.4E+08,C,195196.47,266612.93,3d3.(4F).4s,3F,2,3d3.(4F).4p,3F*,2,,T6653c93,L3625,
Fe,2,1400.449,0.002,1400.44995,0.00008,400,,,26932.7348,98338.357,3d6.(3P2).4s,b 2P,1/2,3d5.(4P).4s.4p.(3P*),4S*,3/2,,,L18349c140,
Fe,2,1400.506,0.002,1400.50817,0.00008,2400,,,36252.931,107655.585,3d6.(3D).4s,b 2D,5/2,3d6.(5D).6p,4D*,5/2,,,L18349c140,
Fe,2,1400.776,0.002,1400.77839,0.00006,6000,,,43620.9842,115009.864,3d6.(5D).4p,z 6P*,3/2,3d6.(5D).6d,6P,3/2,,,L18349c140,
Fe,2,1400.805,0.002,1400.80745,0.00014,1400,,,21307.999,92695.398,3d7,a 2D2,3/2,3d6.(3P1).4p,u 2D*,5/2,,,L18349c140,
Fe,2,1401.122,0.002,1401.1121,0.0006,1100,,,31811.814,103183.69,3d7,b 2F,5/2,3d5.(4D).4s.4p.(3P*),2F*,7/2,,,L18349c140,
Fe,2,1401.230,0.005,1401.22891,0.00006,3400bl(Fe II)*,,,20805.7632,92171.690,3d7,a 2H,9/2,3d6.(3F1).4p,u 2G*,9/2,,,L18349c141,
Fe,2,1401.230,0.005,1401.23046,0.00006,3400bl(Fe II)*,,,31999.049,103364.897,3d7,b 2F,7/2,3d6.(5D<3>).4f,2[3]*,5/2,,,L18349c141,
Fe,3,1401.492,0.005,1401.4910,0.0012,2400,1E+07,D,70694.40,142046.98,3d5.(4G).4s,3G,5,3d5.(4F).4p,3F*,4,,T6105,L11223,
Fe,5,1401.535,0.004,1401.5384,0.0020,250,3E+07,C,214611.27,285961.44,3d3.(2P).4s,3P,1,3d3.(2D2).4p,1P*,1,,T6653c93,L3625,
Fe,2,1401.771,0.002,1401.7766,0.0004,7000,4.1E+07,D+,22810.3459,94148.39,3d6.(3F2).4s,b 4F,7/2,3d5.(4G).4s.4p.(3P*),w 4G*,9/2,,T6892c83,L18349c140,
Fe,2,1401.939,0.002,1401.94252,0.00008,600,,,7955.3186,79284.919,3d6.(5D).4s,a 4D,7/2,3d5.(6S).4s.4p.(1P*),x 6P*,5/2,,,L18349c140,
Fe,2,1402.144,0.002,1402.14406,0.00008,1800,,,36252.931,107572.279,3d6.(3D).4s,b 2D,5/2,3d6.(5D).6p,6F*,5/2,,,L18349c140,
Fe,3,1402.172,0.005,1402.1733,0.0010,2400,,,70729.12,142046.98,3d5.(4G).4s,3G,4,3d5.(4F).4p,3F*,4,,,L11223,
Fe,5,1402.388,0.007,1402.380,0.003,4000*,7.3E+08,C+,195933.16,267240.50,3d3.(4F).4s,3F,3,3d3.(4F).4p,3F*,3,,T6653c93,L3625,
Fe,5,1402.388,0.007,1402.391,0.003,4000*,9.1E+08,B,216860.23,288167.02,3d3.(2H).4s,3H,5,3d3.(2H).4p,3I*,6,,T6653c93,L3625,
Fe,2,1402.560,0.002,1402.55823,0.00006,500,,,42658.2444,113956.532,3d6.(5D).4p,z 6P*,7/2,3d6.(5D).6d,6D,9/2,,,L18349c140,
Fe,2,1402.846,0.002,1402.8535,0.0006,700,,,20805.7632,92089.043,3d7,a 2H,9/2,3d5.(4G).4s.4p.(3P*),x 4H*,7/2,,,L18349c140,
Fe,2,1403.100,0.002,1403.10022,0.00006,4000,,,1872.5998,73143.346,3d7,a 4F,9/2,3d6.(1G2).4p,w 2G*,7/2,,,L18349c140,
Fe,2,1403.253,0.002,1403.25372,0.00006,7000,2.4E+07,D+,22810.3459,94073.296,3d6.(3F2).4s,b 4F,7/2,3d5.(4G).4s.4p.(3P*),w 4G*,7/2,,T6892c83,L18349c140,
Fe,5,1403.370,0.007,1403.3697,0.0020,1100*,2E+08,C,209109.88,280366.94,3d3.(2G).4s,3G,4,3d3.(2G).4p,3F*,4,,T6653c93,L3625,
Fe,5,1403.370,0.007,1403.3780,0.0024,1100*,,,213533.85,284790.49,3d3.(2G).4s,1G,4,3d3.(2H).4p,3H*,5,,,L3625,
Fe,2,1403.556,0.002,1403.56036,0.00006,600,,,22810.3459,94057.727,3d6.(3F2).4s,b 4F,7/2,3d5.(4D).4s.4p.(3P*),6D*,9/2,,,L18349c140,
Fe,2,1403.680,0.002,1403.66878,0.00008,5000bl(Fe II)*,,,38214.503,109456.381,3d6.(1D2).4s,c 2D,3/2,3d6.(3P2).5p,4P*,3/2,,,L18349c140,
Fe,2,1403.680,0.002,1403.67683,0.00006,5000bl(Fe II)*,,,38660.0537,109901.523,3d6.(5D).4p,z 6D*,7/2,3d6.(3G).4d,2G,7/2,,,L18349c140,
Fe,2,1403.977,0.002,1403.97646,0.00006,4000,,,43238.6066,114464.872,3d6.(5D).4p,z 6P*,5/2,3d6.(5D).6d,114464,3/2,,,L18349c140,
Fe,5,1404.048,0.004,1404.0438,0.0020,55,1.9E+07,D+,205536.21,276759.06,3d3.(4P).4s,5P,3,3d3.(4P).4p,5D*,2,,T6653c93,L3625,
Fe,2,1404.118,0.002,1404.11909,0.00006,2500,,,1872.5998,73091.630,3d7,a 4F,9/2,3d6.(1G2).4p,w 2G*,9/2,,,L18349c140,
Fe,5,1404.260,0.004,1404.2589,0.0020,520,2.1E+08,C,212541.95,283753.89,3d3.(4P).4s,3P,0,3d3.(2P).4p,3D*,1,,T6653c93,L3625,
Fe,6,,,1404.567,0.010,,2.4E-02,E,511.3,71707.6,3d3,4F,5/2,3d3,2D1,5/2,M1,T3475,,
Fe,6,,,1404.567,0.010,,2.1E-03,E,511.3,71707.6,3d3,4F,5/2,3d3,2D1,5/2,E2,T3475,,
Fe,2,1404.740,0.002,1404.74278,0.00006,6000,,,21711.8963,92899.306,3d6.(3H).4s,a 4H,7/2,3d6.(3F1).4p,4D*,5/2,,,L18349c140,
Fe,2,1405.372,0.002,1405.37791,0.00006,6000,,,43238.6066,114393.845,3d6.(5D).4p,z 6P*,5/2,3d6.(5D).6d,114393,3/2,,,L18349c140,
Fe,2,1405.602,0.002,1405.60813,0.00006,8000,5E+06,D,1872.5998,73016.184,3d7,a 4F,9/2,3d6.(1G2).4p,x 2F*,7/2,,T6892c83,L18349c140,
Fe,2,1405.703,0.002,1405.6937,0.0010,1100,,,31364.4554,102503.71,3d6.(3D).4s,b 4D,3/2,3d5.(4D).4s.4p.(3P*),2D*,3/2,,,L18349c140,
Fe,2,1405.797,0.002,1405.79860,0.00006,7000,3.9E+07,D+,22939.3512,94073.296,3d6.(3F2).4s,b 4F,5/2,3d5.(4G).4s.4p.(3P*),w 4G*,7/2,,T6892c83,L18349c140,
